%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
88700000000,886,88700000000,base_link,0,0,35.8594562262,-108.236838708,12.5247853717,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
88800000000,887,88800000000,base_link,0,0,35.8594558895,-108.236838485,12.4663467307,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
88900000000,888,88900000000,base_link,0,0,35.859455232,-108.236838589,12.4242350816,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89000000000,889,89000000000,base_link,0,0,35.8594557301,-108.23683886,12.4647088854,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89100000000,890,89100000000,base_link,0,0,35.8594569037,-108.236839041,12.4431288909,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89200000000,891,89200000000,base_link,0,0,35.8594559128,-108.236839067,12.460929657,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89300000000,892,89300000000,base_link,0,0,35.8594560301,-108.236838438,12.4398300482,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89400000000,893,89400000000,base_link,0,0,35.8594550616,-108.236838109,12.4649245152,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89500000000,894,89500000000,base_link,0,0,35.8594559018,-108.236838796,12.4861362374,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89600000000,895,89600000000,base_link,0,0,35.8594560463,-108.236838708,12.4342819799,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89700000000,896,89700000000,base_link,0,0,35.8594562325,-108.236838336,12.4473996106,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89800000000,897,89800000000,base_link,0,0,35.8594561489,-108.236838927,12.4506931558,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
89900000000,898,89900000000,base_link,0,0,35.8594560619,-108.236838584,12.4854740456,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
90000000000,899,90000000000,base_link,0,0,35.8594554075,-108.236839046,12.4952386097,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
90100000000,900,90100000000,base_link,0,0,35.8594561878,-108.236839211,12.4653732034,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
90200000000,901,90200000000,base_link,0,0,35.8594553612,-108.236838465,12.5125217282,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
